sym,sym href,slw,sl,svelte-eurwtr
AMK,https://stockanalysis.com/stocks/amk/,"AssetMark Financial Holdings, Inc.",Asset Management,2.62B
AMKR,https://stockanalysis.com/stocks/amkr/,"Amkor Technology, Inc.",Semiconductor Equipment & Materials,8.18B
AMLI,https://stockanalysis.com/stocks/amli/,American Lithium Corp.,Other Industrial Metals & Mining,89.67M
AMLX,https://stockanalysis.com/stocks/amlx/,"Amylyx Pharmaceuticals, Inc.",Biotechnology,153.87M
AMN,https://stockanalysis.com/stocks/amn/,"AMN Healthcare Services, Inc.",Medical Care Facilities,1.94B
AMP,https://stockanalysis.com/stocks/amp/,"Ameriprise Financial, Inc.",Asset Management,42.58B
AMPG,https://stockanalysis.com/stocks/ampg/,"AmpliTech Group, Inc.",Communication Equipment,7.98M
AMPH,https://stockanalysis.com/stocks/amph/,"Amphastar Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2.28B
AMPL,https://stockanalysis.com/stocks/ampl/,"Amplitude, Inc.",Software - Application,1.10B
AMPS,https://stockanalysis.com/stocks/amps/,"Altus Power, Inc.",Utilities - Renewable,473.57M
AMPX,https://stockanalysis.com/stocks/ampx/,"Amprius Technologies, Inc.",Electrical Equipment & Parts,119.94M
AMPY,https://stockanalysis.com/stocks/ampy/,Amplify Energy Corp.,Oil & Gas Exploration & Production,278.20M
AMR,https://stockanalysis.com/stocks/amr/,"Alpha Metallurgical Resources, Inc.",Coking Coal,3.05B
AMRC,https://stockanalysis.com/stocks/amrc/,"Ameresco, Inc.",Engineering & Construction,1.48B
AMRK,https://stockanalysis.com/stocks/amrk/,"A-Mark Precious Metals, Inc.",Capital Markets,850.08M
AMRN,https://stockanalysis.com/stocks/amrn/,Amarin Corporation plc,Drug Manufacturers - General,266.44M
AMRX,https://stockanalysis.com/stocks/amrx/,"Amneal Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2.52B
AMS,https://stockanalysis.com/stocks/ams/,American Shared Hospital Services,Medical Care Facilities,19.33M
AMSC,https://stockanalysis.com/stocks/amsc/,American Superconductor Corporation,Specialty Industrial Machinery,817.60M
AMSF,https://stockanalysis.com/stocks/amsf/,"AMERISAFE, Inc.",Insurance - Specialty,927.95M
AMST,https://stockanalysis.com/stocks/amst/,Amesite Inc.,Software - Application,6.61M
AMSWA,https://stockanalysis.com/stocks/amswa/,"American Software, Inc.",Software - Application,343.12M
AMT,https://stockanalysis.com/stocks/amt/,American Tower Corporation,REIT - Specialty,102.52B
AMTB,https://stockanalysis.com/stocks/amtb/,Amerant Bancorp Inc.,Banks - Regional,691.51M
AMTD,https://stockanalysis.com/stocks/amtd/,AMTD IDEA Group,Asset Management,79.93M
AMTX,https://stockanalysis.com/stocks/amtx/,"Aemetis, Inc.",Oil & Gas Refining & Marketing,121.77M
AMWD,https://stockanalysis.com/stocks/amwd/,American Woodmark Corporation,"Furnishings, Fixtures & Appliances",1.50B
AMWL,https://stockanalysis.com/stocks/amwl/,American Well Corporation,Health Information Services,132.22M
AMX,https://stockanalysis.com/stocks/amx/,"América Móvil, S.A.B. de C.V.",Telecom Services,52.96B
AMZN,https://stockanalysis.com/stocks/amzn/,"Amazon.com, Inc.",Internet Retail,"1,890.36B"
AN,https://stockanalysis.com/stocks/an/,"AutoNation, Inc.",Auto & Truck Dealerships,7.00B
ANAB,https://stockanalysis.com/stocks/anab/,"AnaptysBio, Inc.",Biotechnology,1.14B
ANDE,https://stockanalysis.com/stocks/ande/,"The Andersons, Inc.",Food Distribution,1.65B
ANEB,https://stockanalysis.com/stocks/aneb/,"Anebulo Pharmaceuticals, Inc.",Biotechnology,51.87M
ANET,https://stockanalysis.com/stocks/anet/,"Arista Networks, Inc.",Computer Hardware,111.80B
ANF,https://stockanalysis.com/stocks/anf/,Abercrombie & Fitch Co.,Apparel Retail,8.73B
ANGH,https://stockanalysis.com/stocks/angh/,Anghami Inc.,Entertainment,56.82M
ANGI,https://stockanalysis.com/stocks/angi/,Angi Inc.,Internet Content & Information,1.29B
ANGO,https://stockanalysis.com/stocks/ango/,"AngioDynamics, Inc.",Medical Instruments & Supplies,307.31M
ANIK,https://stockanalysis.com/stocks/anik/,"Anika Therapeutics, Inc.",Medical Instruments & Supplies,379.31M
ANIP,https://stockanalysis.com/stocks/anip/,"ANI Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1.20B
ANIX,https://stockanalysis.com/stocks/anix/,"Anixa Biosciences, Inc.",Biotechnology,100.18M
ANL,https://stockanalysis.com/stocks/anl/,Adlai Nortye Ltd.,Biotechnology,111.98M
ANNX,https://stockanalysis.com/stocks/annx/,"Annexon, Inc.",Biotechnology,624.41M
ANRO,https://stockanalysis.com/stocks/anro/,"Alto Neuroscience, Inc.",Biotechnology,297.90M
ANSC,https://stockanalysis.com/stocks/ansc/,Agriculture & Natural Solutions Acquisition Corporation,Shell Companies,446.13M
ANSS,https://stockanalysis.com/stocks/anss/,"ANSYS, Inc.",Software - Application,28.92B
ANTE,https://stockanalysis.com/stocks/ante/,AirNet Technology Inc.,Advertising Agencies,4.76M
ANTX,https://stockanalysis.com/stocks/antx/,"AN2 Therapeutics, Inc.",Biotechnology,32.83M
ANVS,https://stockanalysis.com/stocks/anvs/,"Annovis Bio, Inc.",Biotechnology,125.45M
ANY,https://stockanalysis.com/stocks/any/,Sphere 3D Corp.,Capital Markets,20.74M
AOGO,https://stockanalysis.com/stocks/aogo/,Arogo Capital Acquisition Corp.,Shell Companies,53.21M
AOMR,https://stockanalysis.com/stocks/aomr/,"Angel Oak Mortgage REIT, Inc.",REIT - Mortgage,280.81M
AON,https://stockanalysis.com/stocks/aon/,Aon plc,Insurance Brokers,73.44B
AORT,https://stockanalysis.com/stocks/aort/,"Artivion, Inc.",Medical Devices,1.06B
AOS,https://stockanalysis.com/stocks/aos/,A. O. Smith Corporation,Specialty Industrial Machinery,11.94B
AOSL,https://stockanalysis.com/stocks/aosl/,Alpha and Omega Semiconductor Limited,Semiconductors,1.03B
AOUT,https://stockanalysis.com/stocks/aout/,"American Outdoor Brands, Inc.",Leisure,109.95M
AP,https://stockanalysis.com/stocks/ap/,Ampco-Pittsburgh Corporation,Metal Fabrication,38.58M
APA,https://stockanalysis.com/stocks/apa/,APA Corporation,Oil & Gas Exploration & Production,10.38B
APAM,https://stockanalysis.com/stocks/apam/,Artisan Partners Asset Management Inc.,Asset Management,2.88B
APCX,https://stockanalysis.com/stocks/apcx/,AppTech Payments Corp.,Software - Infrastructure,22.06M
APD,https://stockanalysis.com/stocks/apd/,"Air Products and Chemicals, Inc.",Specialty Chemicals,61.25B
APDN,https://stockanalysis.com/stocks/apdn/,"Applied DNA Sciences, Inc.",Diagnostics & Research,21.32M
APEI,https://stockanalysis.com/stocks/apei/,"American Public Education, Inc.",Education & Training Services,260.57M
APG,https://stockanalysis.com/stocks/apg/,APi Group Corporation,Engineering & Construction,9.66B
APGE,https://stockanalysis.com/stocks/apge/,"Apogee Therapeutics, Inc.",Biotechnology,2.83B
APH,https://stockanalysis.com/stocks/aph/,Amphenol Corporation,Electronic Components,80.93B
API,https://stockanalysis.com/stocks/api/,"Agora, Inc.",Software - Application,210.62M
APLD,https://stockanalysis.com/stocks/apld/,Applied Digital Corporation,Information Technology Services,614.06M
APLE,https://stockanalysis.com/stocks/aple/,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,3.44B
APLM,https://stockanalysis.com/stocks/aplm/,"Apollomics, Inc.",Biotechnology,14.41M
APLS,https://stockanalysis.com/stocks/apls/,"Apellis Pharmaceuticals, Inc.",Biotechnology,4.85B
APLT,https://stockanalysis.com/stocks/aplt/,"Applied Therapeutics, Inc.",Biotechnology,714.34M
APM,https://stockanalysis.com/stocks/apm/,Aptorum Group Limited,Biotechnology,16.96M
APO,https://stockanalysis.com/stocks/apo/,"Apollo Global Management, Inc.",Asset Management,62.24B
APOG,https://stockanalysis.com/stocks/apog/,"Apogee Enterprises, Inc.",Building Products & Equipment,1.41B
APP,https://stockanalysis.com/stocks/app/,AppLovin Corporation,Software - Application,30.38B
APPF,https://stockanalysis.com/stocks/appf/,"AppFolio, Inc.",Software - Application,8.26B
APPN,https://stockanalysis.com/stocks/appn/,Appian Corporation,Software - Infrastructure,2.25B
APPS,https://stockanalysis.com/stocks/apps/,"Digital Turbine, Inc.",Software - Application,406.99M
APRE,https://stockanalysis.com/stocks/apre/,"Aprea Therapeutics, Inc.",Biotechnology,20.97M
APT,https://stockanalysis.com/stocks/apt/,"Alpha Pro Tech, Ltd.",Building Products & Equipment,68.16M
APTO,https://stockanalysis.com/stocks/apto/,Aptose Biosciences Inc.,Biotechnology,8.66M
APTV,https://stockanalysis.com/stocks/aptv/,Aptiv PLC,Auto Parts,18.84B
APVO,https://stockanalysis.com/stocks/apvo/,Aptevo Therapeutics Inc.,Biotechnology,3.58M
APWC,https://stockanalysis.com/stocks/apwc/,Asia Pacific Wire & Cable Corporation Limited,Electrical Equipment & Parts,32.57M
APXI,https://stockanalysis.com/stocks/apxi/,APx Acquisition Corp. I,Shell Companies,115.65M
APYX,https://stockanalysis.com/stocks/apyx/,Apyx Medical Corporation,Medical Devices,44.34M
AQB,https://stockanalysis.com/stocks/aqb/,"AquaBounty Technologies, Inc.",Farm Products,3.56M
AQMS,https://stockanalysis.com/stocks/aqms/,"Aqua Metals, Inc.",Waste Management,33.64M
AQN,https://stockanalysis.com/stocks/aqn/,Algonquin Power & Utilities Corp.,Utilities - Renewable,4.05B
AQST,https://stockanalysis.com/stocks/aqst/,"Aquestive Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,423.43M
AQU,https://stockanalysis.com/stocks/aqu/,Aquaron Acquisition Corp.,Shell Companies,50.27M
AR,https://stockanalysis.com/stocks/ar/,Antero Resources Corporation,Oil & Gas Exploration & Production,8.64B
ARAY,https://stockanalysis.com/stocks/aray/,Accuray Incorporated,Medical Devices,247.12M
ARBB,https://stockanalysis.com/stocks/arbb/,ARB IOT Group Limited,Information Technology Services,10.67M
ARBE,https://stockanalysis.com/stocks/arbe/,Arbe Robotics Ltd.,Software - Infrastructure,155.66M
ARBK,https://stockanalysis.com/stocks/arbk/,Argo Blockchain plc,Capital Markets,83.16M
ARC,https://stockanalysis.com/stocks/arc/,"ARC Document Solutions, Inc.",Specialty Business Services,128.02M
ARCB,https://stockanalysis.com/stocks/arcb/,ArcBest Corporation,Trucking,2.56B
ARCC,https://stockanalysis.com/stocks/arcc/,Ares Capital Corporation,Asset Management,13.21B
ARCH,https://stockanalysis.com/stocks/arch/,"Arch Resources, Inc.",Coking Coal,2.25B
ARCO,https://stockanalysis.com/stocks/arco/,Arcos Dorados Holdings Inc.,Restaurants,1.91B
ARCT,https://stockanalysis.com/stocks/arct/,Arcturus Therapeutics Holdings Inc.,Biotechnology,591.68M
ARDT,https://stockanalysis.com/stocks/ardt/,"Ardent Health Partners, Inc.",Medical Care Facilities,2.41B
ARDX,https://stockanalysis.com/stocks/ardx/,"Ardelyx, Inc.",Biotechnology,1.50B
ARE,https://stockanalysis.com/stocks/are/,"Alexandria Real Estate Equities, Inc.",REIT - Office,20.26B
AREB,https://stockanalysis.com/stocks/areb/,"American Rebel Holdings, Inc.",Footwear & Accessories,5.08M
AREC,https://stockanalysis.com/stocks/arec/,American Resources Corporation,Coking Coal,42.09M
AREN,https://stockanalysis.com/stocks/aren/,"The Arena Group Holdings, Inc.",Internet Content & Information,27.52M
ARES,https://stockanalysis.com/stocks/ares/,Ares Management Corporation,Asset Management,28.85B
ARGX,https://stockanalysis.com/stocks/argx/,argenx SE,Biotechnology,31.52B
ARHS,https://stockanalysis.com/stocks/arhs/,"Arhaus, Inc.",Home Improvement Retail,1.71B
ARI,https://stockanalysis.com/stocks/ari/,"Apollo Commercial Real Estate Finance, Inc.",REIT - Mortgage,1.41B
ARIS,https://stockanalysis.com/stocks/aris/,"Aris Water Solutions, Inc.",Utilities - Regulated Water,498.86M
ARKO,https://stockanalysis.com/stocks/arko/,Arko Corp.,Specialty Retail,738.62M
ARKR,https://stockanalysis.com/stocks/arkr/,Ark Restaurants Corp.,Restaurants,45.12M
ARL,https://stockanalysis.com/stocks/arl/,"American Realty Investors, Inc.",Real Estate Services,276.36M
ARLO,https://stockanalysis.com/stocks/arlo/,"Arlo Technologies, Inc.",Building Products & Equipment,1.23B
ARLP,https://stockanalysis.com/stocks/arlp/,"Alliance Resource Partners, L.P.",Thermal Coal,3.06B
ARM,https://stockanalysis.com/stocks/arm/,Arm Holdings plc,Semiconductors,137.50B
ARMK,https://stockanalysis.com/stocks/armk/,Aramark,Specialty Business Services,9.41B
ARMN,https://stockanalysis.com/stocks/armn/,Aris Mining Corporation,Gold,784.75M
ARMP,https://stockanalysis.com/stocks/armp/,"Armata Pharmaceuticals, Inc.",Biotechnology,82.68M
AROC,https://stockanalysis.com/stocks/aroc/,"Archrock, Inc.",Oil & Gas Equipment & Services,3.26B
AROW,https://stockanalysis.com/stocks/arow/,Arrow Financial Corporation,Banks - Regional,477.38M
ARQ,https://stockanalysis.com/stocks/arq/,"Arq, Inc.",Pollution & Treatment Controls,240.99M
ARQQ,https://stockanalysis.com/stocks/arqq/,Arqit Quantum Inc.,Software - Infrastructure,57.23M
ARQT,https://stockanalysis.com/stocks/arqt/,"Arcutis Biotherapeutics, Inc.",Biotechnology,974.87M
ARR,https://stockanalysis.com/stocks/arr/,"ARMOUR Residential REIT, Inc.",REIT - Mortgage,990.43M
ARRY,https://stockanalysis.com/stocks/arry/,"Array Technologies, Inc.",Solar,1.02B
ARTL,https://stockanalysis.com/stocks/artl/,"Artelo Biosciences, Inc.",Biotechnology,4.32M
ARTNA,https://stockanalysis.com/stocks/artna/,Artesian Resources Corporation,Utilities - Regulated Water,376.82M
ARTV,https://stockanalysis.com/stocks/artv/,"Artiva Biotherapeutics, Inc.",Biotechnology,234.45M
ARTW,https://stockanalysis.com/stocks/artw/,"Art's-Way Manufacturing Co., Inc.",Farm & Heavy Construction Machinery,8.11M
ARVN,https://stockanalysis.com/stocks/arvn/,"Arvinas, Inc.",Biotechnology,1.73B
ARW,https://stockanalysis.com/stocks/arw/,"Arrow Electronics, Inc.",Electronics & Computer Distribution,6.98B
ARWR,https://stockanalysis.com/stocks/arwr/,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,3.14B
AS,https://stockanalysis.com/stocks/as/,"Amer Sports, Inc.",Leisure,7.15B
ASA,https://stockanalysis.com/stocks/asa/,ASA Gold and Precious Metals Limited,Asset Management,381.36M
ASAI,https://stockanalysis.com/stocks/asai/,Sendas Distribuidora S.A.,Grocery Stores,2.44B
ASAN,https://stockanalysis.com/stocks/asan/,"Asana, Inc.",Software - Application,3.16B
ASB,https://stockanalysis.com/stocks/asb/,Associated Banc-Corp,Banks - Regional,3.17B
ASC,https://stockanalysis.com/stocks/asc/,Ardmore Shipping Corporation,Marine Shipping,781.61M
ASCB,https://stockanalysis.com/stocks/ascb/,A SPAC II Acquisition Corp.,Shell Companies,63.53M
ASGN,https://stockanalysis.com/stocks/asgn/,ASGN Incorporated,Information Technology Services,4.20B
ASH,https://stockanalysis.com/stocks/ash/,Ashland Inc.,Specialty Chemicals,4.26B
ASIX,https://stockanalysis.com/stocks/asix/,AdvanSix Inc.,Chemicals,779.48M
ASLE,https://stockanalysis.com/stocks/asle/,AerSale Corporation,Airports & Air Services,280.93M
ASM,https://stockanalysis.com/stocks/asm/,Avino Silver & Gold Mines Ltd.,Other Precious Metals & Mining,135.61M
ASMB,https://stockanalysis.com/stocks/asmb/,"Assembly Biosciences, Inc.",Biotechnology,92.96M
ASML,https://stockanalysis.com/stocks/asml/,ASML Holding N.V.,Semiconductor Equipment & Materials,369.08B
ASND,https://stockanalysis.com/stocks/asnd/,Ascendis Pharma A/S,Biotechnology,7.86B
ASNS,https://stockanalysis.com/stocks/asns/,"Actelis Networks, Inc.",Communication Equipment,8.78M
ASO,https://stockanalysis.com/stocks/aso/,"Academy Sports and Outdoors, Inc.",Specialty Retail,4.07B
ASPI,https://stockanalysis.com/stocks/aspi/,ASP Isotopes Inc.,Chemicals,157.38M
ASPN,https://stockanalysis.com/stocks/aspn/,"Aspen Aerogels, Inc.",Building Products & Equipment,2.39B
ASPS,https://stockanalysis.com/stocks/asps/,Altisource Portfolio Solutions S.A.,Real Estate Services,32.26M
ASR,https://stockanalysis.com/stocks/asr/,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,8.29B
ASRT,https://stockanalysis.com/stocks/asrt/,"Assertio Holdings, Inc.",Drug Manufacturers - Specialty & Generic,122.98M
ASRV,https://stockanalysis.com/stocks/asrv/,"AmeriServ Financial, Inc.",Banks - Regional,40.97M
ASST,https://stockanalysis.com/stocks/asst/,Asset Entities Inc.,Internet Content & Information,3.36M
ASTC,https://stockanalysis.com/stocks/astc/,Astrotech Corporation,Aerospace & Defense,15.94M
ASTE,https://stockanalysis.com/stocks/aste/,"Astec Industries, Inc.",Farm & Heavy Construction Machinery,747.40M
ASTH,https://stockanalysis.com/stocks/asth/,"Astrana Health, Inc.",Medical Care Facilities,2.37B
ASTI,https://stockanalysis.com/stocks/asti/,"Ascent Solar Technologies, Inc.",Solar,4.35M
ASTL,https://stockanalysis.com/stocks/astl/,Algoma Steel Group Inc.,Steel,1.01B
ASTS,https://stockanalysis.com/stocks/asts/,"AST SpaceMobile, Inc.",Communication Equipment,5.52B
ASUR,https://stockanalysis.com/stocks/asur/,"Asure Software, Inc.",Software - Application,223.57M
ASX,https://stockanalysis.com/stocks/asx/,"ASE Technology Holding Co., Ltd.",Semiconductors,20.62B
ASXC,https://stockanalysis.com/stocks/asxc/,"Asensus Surgical, Inc.",Medical Devices,94.89M
ASYS,https://stockanalysis.com/stocks/asys/,"Amtech Systems, Inc.",Semiconductor Equipment & Materials,94.27M
ATAI,https://stockanalysis.com/stocks/atai/,Atai Life Sciences N.V.,Biotechnology,223.17M
ATAT,https://stockanalysis.com/stocks/atat/,Atour Lifestyle Holdings Limited,Lodging,2.42B
ATCH,https://stockanalysis.com/stocks/atch/,"AtlasClear Holdings, Inc.",Software - Infrastructure,2.77M
ATEC,https://stockanalysis.com/stocks/atec/,"Alphatec Holdings, Inc.",Medical Devices,797.81M
ATEK,https://stockanalysis.com/stocks/atek/,Athena Technology Acquisition Corp. II,Shell Companies,137.18M
ATEN,https://stockanalysis.com/stocks/aten/,"A10 Networks, Inc.",Software - Infrastructure,989.81M
ATER,https://stockanalysis.com/stocks/ater/,"Aterian, Inc.","Furnishings, Fixtures & Appliances",21.21M
ATEX,https://stockanalysis.com/stocks/atex/,Anterix Inc.,Telecom Services,697.49M
ATGE,https://stockanalysis.com/stocks/atge/,Adtalem Global Education Inc.,Education & Training Services,2.77B
ATGL,https://stockanalysis.com/stocks/atgl/,Alpha Technology Group Limited,Software - Infrastructure,36.55M
ATHA,https://stockanalysis.com/stocks/atha/,"Athira Pharma, Inc.",Biotechnology,127.43M
ATHE,https://stockanalysis.com/stocks/athe/,Alterity Therapeutics Limited,Biotechnology,12.57M
ATHM,https://stockanalysis.com/stocks/athm/,Autohome Inc.,Internet Content & Information,2.90B
ATI,https://stockanalysis.com/stocks/ati/,ATI Inc.,Metal Fabrication,8.13B
ATIF,https://stockanalysis.com/stocks/atif/,ATIF Holdings Limited,Capital Markets,9.89M
ATIP,https://stockanalysis.com/stocks/atip/,"ATI Physical Therapy, Inc.",Medical Care Facilities,25.99M
ATKR,https://stockanalysis.com/stocks/atkr/,Atkore Inc.,Electrical Equipment & Parts,3.51B
ATLC,https://stockanalysis.com/stocks/atlc/,Atlanticus Holdings Corporation,Credit Services,484.51M
ATLO,https://stockanalysis.com/stocks/atlo/,Ames National Corporation,Banks - Regional,161.23M
ATLX,https://stockanalysis.com/stocks/atlx/,Atlas Lithium Corporation,Other Industrial Metals & Mining,165.46M
